linkInfo, tags, priceSingle,area,priceTotal
https://sh.lianjia.com/ershoufang/107002213765.html, 万航渡路2540号 2室1厅 350万, 64044元/平米, 54.65平米, 350
https://sh.lianjia.com/ershoufang/107000195661.html, 上海花城 3室2厅 945万, 72743元/平米, 129.91平米, 945
https://sh.lianjia.com/ershoufang/107000286363.html, 法华苑 2室2厅 1000万, 81968元/平米, 122平米, 1000
https://sh.lianjia.com/ershoufang/107000420249.html, 新华嘉利公寓 全明三房 视野无遮挡, 80473元/平米, 121.78平米, 980
https://sh.lianjia.com/ershoufang/107001270091.html, 威宁小区 2室1厅 368万, 66462元/平米, 55.37平米, 368
https://sh.lianjia.com/ershoufang/107002113831.html, 古城公寓 2室2厅 680万, 67730元/平米, 100.4平米, 680
https://sh.lianjia.com/ershoufang/107000389061.html, 雍景园 2室2厅 850万, 79440元/平米, 107平米, 850
https://sh.lianjia.com/ershoufang/107001116343.html, 遵义小区 3室0厅 450万, 64665元/平米, 69.59平米, 450
https://sh.lianjia.com/ershoufang/107000190367.html, 河风丽景 4室2厅 1130万, 65379元/平米, 172.84平米, 1130
https://sh.lianjia.com/ershoufang/107000253671.html, 虹桥府邸 3室2厅 1400万, 73945元/平米, 189.33平米, 1400
https://sh.lianjia.com/ershoufang/107000409681.html, 金电大厦 2室2厅 650万, 71776元/平米, 90.56平米, 650
https://sh.lianjia.com/ershoufang/107002180533.html, 瑞冬小区 2室1厅 300万, 57893元/平米, 51.82平米, 300
https://sh.lianjia.com/ershoufang/107002315437.html, 申晨公寓 2室0厅 475万, 81532元/平米, 58.26平米, 475
https://sh.lianjia.com/ershoufang/107002116151.html, 仙霞大郡 3室2厅 760万, 56222元/平米, 135.18平米, 760
https://sh.lianjia.com/ershoufang/107002244517.html, 番禺路222弄 3室1厅 480万, 65926元/平米, 72.81平米, 480
https://sh.lianjia.com/ershoufang/107001102305.html, 绿园一村 2室1厅 370万, 56793元/平米, 65.15平米, 370
https://sh.lianjia.com/ershoufang/107002174603.html, 中宁大厦 2室2厅 750万, 65894元/平米, 113.82平米, 750
https://sh.lianjia.com/ershoufang/107002228727.html, 通协小区 2室1厅 540万, 65943元/平米, 81.89平米, 540
https://sh.lianjia.com/ershoufang/107002084893.html, 江苏路499弄 2室1厅 400万, 77250元/平米, 51.78平米, 400
https://sh.lianjia.com/ershoufang/107002173837.html, 茅台花苑 2室1厅 490万, 68293元/平米, 71.75平米, 490
https://sh.lianjia.com/ershoufang/107001761297.html, 仙霞路133弄 2室1厅 460万, 86941元/平米, 52.91平米, 460
https://sh.lianjia.com/ershoufang/107001184823.html, 友联大楼 2室0厅 420万, 77879元/平米, 53.93平米, 420
https://sh.lianjia.com/ershoufang/107001794797.html, 香花桥小区 2室1厅 398万, 74630元/平米, 53.33平米, 398
https://sh.lianjia.com/ershoufang/107000253621.html, 武夷花园 3室2厅 1250万, 84023元/平米, 148.77平米, 1250
https://sh.lianjia.com/ershoufang/107000271443.html, 虹康花苑(一期) 2室2厅 600万, 70332元/平米, 85.31平米, 600
https://sh.lianjia.com/ershoufang/107001116445.html, 宝石公寓 2室1厅 550万, 68923元/平米, 79.8平米, 550
https://sh.lianjia.com/ershoufang/107000728869.html, 天然氧吧环饶、拎包入住、家具家电全送、小高层带电梯, 66392元/平米, 65.52平米, 435
https://sh.lianjia.com/ershoufang/107002166729.html, 玉屏南路39号 2室1厅 450万, 66099元/平米, 68.08平米, 450
https://sh.lianjia.com/ershoufang/107002229685.html, 郁庭峰 2室2厅 635万, 65095元/平米, 97.55平米, 635
https://sh.lianjia.com/ershoufang/107000112819.html, 衡辰公寓 1室1厅 470万, 80701元/平米, 58.24平米, 470
https://sh.lianjia.com/ershoufang/107001774449.html, 海信花苑 3室2厅 1100万, 85048元/平米, 129.34平米, 1100
https://sh.lianjia.com/ershoufang/107000118645.html, 华敏世纪广场 3室2厅 1040万, 74972元/平米, 138.72平米, 1040
https://sh.lianjia.com/ershoufang/107002144963.html, 紫云大厦 3室2厅 740万, 56675元/平米, 130.57平米, 740
https://sh.lianjia.com/ershoufang/107000032881.html, 翠庭 3室2厅 1380万, 83500元/平米, 165.27平米, 1380
https://sh.lianjia.com/ershoufang/107002264491.html, 南北错通，本小区较大、较好的两房户型，房屋全明, 63026元/平米, 119平米, 750
https://sh.lianjia.com/ershoufang/107000658671.html, 虹霞小区 3室1厅 380万, 69943元/平米, 54.33平米, 380
https://sh.lianjia.com/ershoufang/107002247935.html, 香榭苑 3室2厅 1160万, 83773元/平米, 138.47平米, 1160
https://sh.lianjia.com/ershoufang/107000132515.html, 大家源新城 2室2厅 838万, 87998元/平米, 95.23平米, 838
https://sh.lianjia.com/ershoufang/107000187109.html, 虹桥河滨花园 3室2厅 1000万, 80013元/平米, 124.98平米, 1000
https://sh.lianjia.com/ershoufang/107002307601.html, 中科小区(长宁) 3室1厅 592万, 67961元/平米, 87.11平米, 592
https://sh.lianjia.com/ershoufang/107000435297.html, 大华公寓(长宁) 2室1厅 425万, 70810元/平米, 60.02平米, 425
https://sh.lianjia.com/ershoufang/107002257291.html, 虹桥万博花园 2室2厅 950万, 82473元/平米, 115.19平米, 950
https://sh.lianjia.com/ershoufang/107001952401.html, 银鑫大楼 2室1厅 486万, 68490元/平米, 70.96平米, 486
https://sh.lianjia.com/ershoufang/107002144591.html, 定西路390弄 2室1厅 400万, 75686元/平米, 52.85平米, 400
https://sh.lianjia.com/ershoufang/107002326499.html, 中山公寓 3室2厅 1100万, 75276元/平米, 146.13平米, 1100
https://sh.lianjia.com/ershoufang/107001239761.html, 茅台东苑 2室1厅 430万, 66297元/平米, 64.86平米, 430
https://sh.lianjia.com/ershoufang/107002234911.html, 华松小区 2室1厅 465万, 56391元/平米, 82.46平米, 465
https://sh.lianjia.com/ershoufang/107001470765.html, 新泾三村 3室0厅 425万, 64856元/平米, 65.53平米, 425
https://sh.lianjia.com/ershoufang/107002171241.html, 镇宁路465弄 2室0厅 500万, 89016元/平米, 56.17平米, 500
https://sh.lianjia.com/ershoufang/107001222679.html, 新泾一村 2室1厅 380万, 64869元/平米, 58.58平米, 380
https://sh.lianjia.com/ershoufang/107000387341.html, 樱源晶舍 2室2厅 685万, 68949元/平米, 99.35平米, 685
https://sh.lianjia.com/ershoufang/107001742725.html, 河风丽景 2室2厅 806万, 70173元/平米, 114.86平米, 806
https://sh.lianjia.com/ershoufang/107002039071.html, 镇宁路545弄 3室1厅 760万, 78757元/平米, 96.5平米, 760
https://sh.lianjia.com/ershoufang/107002324093.html, 法华镇路878弄 2室1厅 500万, 75076元/平米, 66.6平米, 500
https://sh.lianjia.com/ershoufang/107002186575.html, 凯旋公寓 3室2厅 920万, 73855元/平米, 124.57平米, 920
https://sh.lianjia.com/ershoufang/107000401235.html, 虹桥中山广场 3室2厅 950万, 71823元/平米, 132.27平米, 950
https://sh.lianjia.com/ershoufang/107002286859.html, 邮局小区 2室1厅 490万, 78982元/平米, 62.04平米, 490
https://sh.lianjia.com/ershoufang/107002328799.html, 新宁小区 2室1厅 442万, 57011元/平米, 77.53平米, 442
https://sh.lianjia.com/ershoufang/107000395023.html, 河风丽景 3室2厅 1030万, 76021元/平米, 135.49平米, 1030
https://sh.lianjia.com/ershoufang/107000935903.html, 天山二村 2室0厅 485万, 82288元/平米, 58.94平米, 485
https://sh.lianjia.com/ershoufang/107001472247.html, 新泾五村 2室1厅 400万, 59093元/平米, 67.69平米, 400
https://sh.lianjia.com/ershoufang/107001973111.html, 虹梅花苑 2室2厅 495万, 58332元/平米, 84.86平米, 495
https://sh.lianjia.com/ershoufang/107002068315.html, 新风小区 2室1厅 390万, 72870元/平米, 53.52平米, 390
https://sh.lianjia.com/ershoufang/107000132279.html, 虹桥世家花园(公寓) 2室2厅 810万, 86217元/平米, 93.95平米, 810
https://sh.lianjia.com/ershoufang/107000162587.html, 今日丽园 3室3厅 1466万, 81282元/平米, 180.36平米, 1466
https://sh.lianjia.com/ershoufang/107000118319.html, 天山河畔花园 4室2厅 1380万, 81153元/平米, 170.05平米, 1380
https://sh.lianjia.com/ershoufang/107001034427.html, 南洋新都 3室2厅 1020万, 83628元/平米, 121.97平米, 1020
https://sh.lianjia.com/ershoufang/107001279089.html, 【江五小雪旁】【两房双南】【地铁站旁】【诚意急售】, 78451元/平米, 72.02平米, 565
https://sh.lianjia.com/ershoufang/107001280681.html, 春天花园 1室2厅 520万, 87030元/平米, 59.75平米, 520
https://sh.lianjia.com/ershoufang/107000529177.html, 新中小区 2室1厅 385万, 75535元/平米, 50.97平米, 385
https://sh.lianjia.com/ershoufang/107002139127.html, 仙霞大郡 3室2厅 620万, 56627元/平米, 109.49平米, 620
https://sh.lianjia.com/ershoufang/107000558563.html, 明珠大楼 4室2厅 950万, 48967元/平米, 194.01平米, 950
https://sh.lianjia.com/ershoufang/107000104775.html, 天山新苑 2室2厅 680万, 72279元/平米, 94.08平米, 680
https://sh.lianjia.com/ershoufang/107000742267.html, 仙霞西路715弄 2室1厅 450万, 65512元/平米, 68.69平米, 450
https://sh.lianjia.com/ershoufang/107000141375.html, 爱迪公寓 3室2厅 1068万, 83029元/平米, 128.63平米, 1068
https://sh.lianjia.com/ershoufang/107001343009.html, 王满小区 1室1厅 320万, 58501元/平米, 54.7平米, 320
https://sh.lianjia.com/ershoufang/107002013361.html, 看房方便+一梯两户+ 双轨相交+ 对口长宁实验+诚意出售, 80715元/平米, 70平米, 565
https://sh.lianjia.com/ershoufang/107002197395.html, 《对口华阳路江五》《2楼2房》《南北全明户型》好房子, 80888元/平米, 53.16平米, 430
https://sh.lianjia.com/ershoufang/107000424513.html, 兆丰花园 2室2厅 920万, 70618元/平米, 130.28平米, 920
https://sh.lianjia.com/ershoufang/107001398921.html, 华山花苑 2室1厅 650万, 81906元/平米, 79.36平米, 650
https://sh.lianjia.com/ershoufang/107000237875.html, 番禺路222弄 2室1厅 430万, 66441元/平米, 64.72平米, 430
