id,event_id,player_id,outcome,min,sec,displaymin,side,x,y,to,to_x,to_y,to_z,field_pass,type,period,team,qualifiers/31
,,15207,1,0,0,1,H,0,0,41316,,,,f,102,1,357,
,,41316,1,0,0,1,H,0,0,15208,,,,f,102,1,357,
,,15208,1,0,0,1,H,0,0,40691,,,,f,102,1,357,
,,40691,1,0,0,1,H,0,0,38392,,,,f,102,1,357,
,,38392,1,0,0,1,H,0,0,100927,,,,f,102,1,357,
,,100927,1,0,0,1,H,0,0,44989,,,,f,102,1,357,
,,44989,1,0,0,1,H,0,0,5155,,,,f,102,1,357,
,,5155,1,0,0,1,H,0,0,55634,,,,f,102,1,357,
,,55634,1,0,0,1,H,0,0,37605,,,,f,102,1,357,
,,37605,1,0,0,1,H,0,0,,,,,f,102,1,357,
,,20388,1,0,0,1,H,0,0,15207,,,,f,102,1,357,
,,42899,1,0,0,1,A,0,0,20658,,,,f,102,1,632,
,,55661,1,0,0,1,A,0,0,,,,,f,102,1,632,
,,58893,1,0,0,1,A,0,0,32644,,,,f,102,1,632,
,,32644,1,0,0,1,A,0,0,15312,,,,f,102,1,632,
,,15312,1,0,0,1,A,0,0,28525,,,,f,102,1,632,
,,28525,1,0,0,1,A,0,0,45154,,,,f,102,1,632,
,,45154,1,0,0,1,A,0,0,39462,,,,f,102,1,632,
,,39462,1,0,0,1,A,0,0,40232,,,,f,102,1,632,
,,40232,1,0,0,1,A,0,0,19054,,,,f,102,1,632,
,,19054,1,0,0,1,A,0,0,55661,,,,f,102,1,632,
,,20658,1,0,0,1,A,0,0,58893,,,,f,102,1,632,
2137779383,1,55661,1,0,0,1,A,0,0,,,,,f,34,1,632,
913777259,1,37605,1,0,0,1,H,0,0,,,,,f,34,1,357,
591083398,3,5155,1,0,1,1,H,49.9,49.3,55634,50.6,48.2,,t,1,1,357,
,,55634,1,0,1,1,H,50.6,48.2,,,,,t,100,1,357,
1044916962,4,55634,1,0,2,1,H,50.6,48.2,44989,37.5,50.7,,t,1,1,357,
,,44989,1,0,3,1,H,37.5,50.7,,,,,t,100,1,357,
931446433,5,44989,1,0,4,1,H,37.5,50.7,40691,29.8,15.9,,t,1,1,357,
1263382287,6,40691,0,0,7,1,H,32.7,8.9,,73.6,38.9,,t,1,1,357,
1762269680,3,28525,1,0,10,1,A,25,67.9,32644,,,,f,12,1,632,
324899756,4,32644,1,0,11,1,A,30.6,80,58893,22,92.1,,t,1,1,632,
1217399647,5,58893,1,0,12,1,A,22,92.1,,,,,f,49,1,632,
1715794506,6,58893,1,0,13,1,A,22.7,93.9,40232,43.7,84.8,,t,1,1,632,
1918439832,7,40232,1,0,17,1,A,39,69.8,,,,,f,50,1,632,
56369329,7,40691,1,0,17,1,H,61,30.2,44989,,,,f,7,1,357,
1581224395,8,44989,1,0,19,1,H,62.9,44.9,,,,,f,49,1,357,
1710651419,9,44989,1,0,19,1,H,62.9,44.9,55634,72.2,43.1,,t,1,1,357,
2055370279,10,55634,0,0,21,1,H,71.3,43.6,,72.3,84.1,,t,1,1,357,
1295983062,8,20658,1,0,23,1,A,26.4,9.2,45154,34.2,8.2,,t,1,1,632,
1654892502,9,45154,0,0,26,1,A,37.4,5.6,,57.6,15.9,,t,1,1,632,
1638282082,11,15208,1,0,29,1,H,37.2,82.1,,,,,f,49,1,357,
892440043,12,15208,1,0,30,1,H,38.1,82,38392,31,87.2,,t,1,1,357,
,,38392,1,0,30,1,H,31,87.2,,,,,t,100,1,357,
1799712277,13,38392,1,0,31,1,H,31,87.2,41316,37.5,96.3,,t,1,1,357,
,,41316,1,0,35,1,H,37.5,96.3,,42.6,96.6,,t,101,1,357,
